iter	Passed	Remaining
203	1275	4976
204	1282	4972
205	1288	4965
206	1294	4958
207	1300	4951
208	1306	4944
209	1312	4938
210	1318	4930
211	1324	4922
212	1330	4914
213	1336	4908
214	1342	4901
215	1348	4895
216	1355	4891
217	1361	4882
218	1367	4875
219	1372	4867
220	1378	4858
221	1384	4851
222	1390	4843
223	1395	4835
224	1401	4828
225	1407	4820
226	1414	4816
227	1420	4808
228	1426	4801
229	1431	4792
230	1436	4783
231	1442	4774
232	1447	4765
233	1453	4758
234	1459	4751
235	1465	4743
236	1471	4736
237	1477	4729
238	1482	4720
239	1488	4712
240	1493	4703
241	1498	4695
242	1504	4687
243	1510	4679
244	1515	4671
245	1521	4663
246	1527	4656
247	1533	4648
248	1539	4643
249	1545	4637
250	1551	4630
251	1558	4625
252	1564	4619
253	1570	4611
254	1575	4602
255	1581	4595
256	1587	4588
257	1592	4581
258	1598	4573
259	1604	4566
260	1611	4562
261	1616	4554
262	1622	4547
263	1628	4541
264	1635	4535
265	1641	4529
266	1647	4523
267	1653	4517
268	1659	4509
269	1665	4501
270	1670	4493
271	1676	4485
272	1681	4477
273	1687	4471
274	1693	4463
275	1699	4458
276	1706	4453
277	1712	4447
278	1718	4442
279	1724	4435
280	1730	4427
281	1736	4421
282	1742	4414
283	1748	4408
284	1754	4401
285	1759	4393
286	1765	4387
287	1772	4381
288	1777	4373
289	1783	4366
290	1789	4359
291	1794	4351
292	1800	4343
293	1806	4337
294	1812	4330
295	1818	4324
296	1824	4317
297	1830	4311
298	1836	4305
299	1843	4302
300	1850	4296
301	1855	4288
302	1861	4281
303	1866	4273
304	1871	4265
305	1877	4257
306	1883	4252
307	1898	4264
308	1903	4257
309	1908	4249
310	1914	4241
311	1920	4234
312	1926	4228
313	1932	4221
314	1938	4215
315	1944	4209
316	1950	4202
317	1956	4196
318	1962	4189
319	1968	4182
320	1973	4175
321	1979	4168
322	1985	4160
323	1991	4154
324	1997	4148
325	2003	4141
326	2008	4133
327	2013	4125
328	2019	4118
329	2024	4110
330	2030	4103
331	2035	4096
332	2042	4090
333	2047	4083
334	2053	4077
335	2059	4070
336	2065	4063
337	2070	4055
338	2076	4048
339	2082	4041
340	2087	4035
341	2093	4027
342	2098	4020
343	2104	4012
344	2110	4006
345	2115	3998
346	2121	3992
347	2127	3986
348	2133	3980
349	2139	3974
350	2145	3966
351	2151	3960
352	2156	3953
353	2162	3945
354	2167	3938
355	2172	3930
356	2178	3923
357	2184	3916
358	2189	3910
359	2195	3902
360	2200	3895
361	2206	3888
362	2211	3881
363	2217	3874
364	2223	3867
365	2228	3859
366	2234	3853
367	2239	3846
368	2245	3839
369	2250	3831
370	2256	3825
371	2262	3819
372	2269	3814
373	2275	3808
374	2280	3801
375	2286	3794
376	2292	3788
377	2297	3781
378	2303	3774
379	2309	3767
380	2314	3760
381	2320	3754
382	2326	3748
383	2332	3741
384	2337	3734
385	2343	3728
386	2349	3721
387	2355	3715
388	2360	3708
389	2366	3701
390	2372	3695
391	2378	3688
392	2383	3681
393	2389	3675
394	2396	3669
395	2402	3664
396	2407	3657
397	2413	3650
398	2419	3643
399	2425	3637
400	2430	3630
401	2436	3623
402	2441	3616
403	2447	3610
404	2453	3604
405	2459	3597
406	2465	3591
407	2471	3585
408	2476	3579
409	2483	3573
410	2489	3567
411	2494	3560
412	2500	3554
413	2506	3548
414	2512	3541
415	2518	3536
416	2524	3529
417	2530	3523
418	2536	3517
419	2543	3511
420	2549	3506
421	2554	3499
422	2560	3492
423	2566	3486
424	2572	3480
425	2578	3474
426	2584	3468
427	2590	3461
428	2595	3455
429	2601	3448
430	2607	3441
431	2612	3435
432	2618	3429
433	2624	3422
434	2630	3416
435	2635	3409
436	2641	3402
437	2647	3396
438	2652	3390
439	2658	3383
440	2664	3377
441	2670	3371
442	2675	3364
443	2681	3358
444	2687	3352
445	2694	3346
446	2700	3340
447	2705	3333
448	2711	3327
449	2717	3320
450	2722	3314
451	2728	3308
452	2735	3302
453	2741	3296
454	2747	3290
455	2753	3284
456	2759	3278
457	2764	3271
458	2770	3265
459	2776	3259
460	2782	3252
461	2788	3247
462	2794	3240
463	2799	3234
464	2805	3228
465	2811	3222
466	2818	3216
467	2823	3209
468	2828	3202
469	2834	3196
470	2840	3190
471	2846	3184
472	2852	3178
473	2858	3171
474	2864	3165
475	2870	3160
476	2876	3154
477	2882	3148
478	2888	3141
479	2894	3135
480	2900	3129
481	2905	3123
482	2911	3116
483	2917	3110
484	2923	3103
485	2929	3097
486	2935	3091
487	2941	3086
488	2947	3079
489	2953	3074
490	2959	3068
491	2965	3062
492	2971	3055
493	2977	3049
494	2984	3044
495	2990	3038
496	2996	3032
497	3003	3027
498	3010	3022
499	3015	3015
500	3022	3010
501	3027	3003
502	3033	2997
503	3039	2991
504	3045	2984
505	3051	2979
506	3058	2973
507	3064	2968
508	3070	2962
509	3077	2957
510	3084	2951
511	3089	2945
512	3096	2939
513	3102	2933
514	3109	2928
515	3115	2921
516	3120	2915
517	3125	2908
518	3131	2902
519	3137	2896
520	3143	2889
521	3149	2883
522	3155	2877
523	3162	2872
524	3168	2866
525	3173	2859
526	3178	2853
527	3184	2846
528	3190	2840
529	3195	2833
530	3201	2827
531	3206	2821
532	3212	2814
533	3217	2808
534	3223	2801
535	3229	2795
536	3234	2789
537	3240	2782
538	3246	2776
539	3251	2770
540	3257	2763
541	3263	2757
542	3268	2751
543	3274	2744
544	3280	2738
545	3285	2732
546	3291	2725
547	3297	2719
548	3302	2713
549	3309	2707
550	3316	2702
551	3322	2696
552	3327	2689
553	3333	2683
554	3339	2677
555	3344	2671
556	3351	2665
557	3357	2659
558	3364	2654
559	3371	2649
560	3377	2643
561	3383	2637
562	3389	2630
563	3396	2625
564	3402	2619
565	3408	2613
566	3416	2608
567	3424	2604
568	3432	2600
569	3438	2594
570	3447	2590
571	3455	2585
572	3464	2581
573	3470	2576
574	3478	2570
575	3485	2565
576	3491	2559
577	3496	2553
578	3502	2546
579	3508	2540
580	3514	2534
581	3519	2528
582	3525	2521
583	3531	2515
584	3537	2509
585	3543	2503
586	3549	2496
587	3554	2490
588	3560	2484
589	3566	2478
590	3572	2472
591	3577	2465
592	3584	2459
593	3590	2453
594	3595	2447
595	3602	2441
596	3609	2436
597	3615	2430
598	3621	2424
599	3628	2418
600	3633	2412
601	3639	2406
602	3644	2399
603	3650	2393
604	3656	2387
605	3662	2380
606	3667	2374
607	3673	2368
608	3678	2362
609	3684	2355
610	3689	2349
611	3695	2343
612	3701	2336
613	3707	2330
614	3713	2324
615	3719	2318
616	3724	2312
617	3730	2305
618	3735	2299
619	3742	2293
620	3747	2287
621	3752	2280
622	3759	2275
623	3766	2269
624	3771	2263
625	3777	2257
626	3784	2251
627	3791	2245
628	3798	2240
629	3804	2234
630	3810	2228
631	3816	2222
632	3823	2216
633	3829	2210
634	3835	2204
635	3840	2198
636	3846	2192
637	3852	2185
638	3858	2179
639	3864	2173
640	3869	2167
641	3875	2160
642	3880	2154
643	3886	2148
644	3891	2141
645	3897	2135
646	3902	2129
647	3908	2123
648	3914	2117
649	3920	2111
650	3926	2104
651	3932	2098
652	3937	2092
653	3943	2086
654	3948	2079
655	3954	2073
656	3959	2067
657	3965	2061
658	3971	2055
659	3977	2048
660	3983	2042
661	3988	2036
662	3994	2030
663	4000	2024
664	4005	2018
665	4011	2011
666	4017	2005
667	4024	2000
668	4030	1994
669	4036	1987
670	4043	1982
671	4050	1977
672	4057	1971
673	4062	1965
674	4068	1959
675	4074	1952
676	4080	1946
677	4087	1941
678	4092	1934
679	4098	1928
680	4104	1922
681	4111	1916
682	4117	1910
683	4122	1904
684	4128	1898
685	4134	1892
686	4140	1886
687	4145	1880
688	4151	1873
689	4157	1867
690	4162	1861
691	4169	1855
692	4175	1849
693	4180	1843
694	4186	1837
695	4192	1831
696	4198	1825
697	4204	1819
698	4210	1813
699	4215	1806
700	4221	1800
701	4227	1794
702	4232	1788
703	4238	1781
704	4243	1775
705	4249	1769
706	4255	1763
707	4260	1757
708	4266	1751
709	4272	1745
710	4278	1739
711	4284	1732
712	4290	1726
713	4295	1720
714	4301	1714
715	4307	1708
716	4313	1702
717	4319	1696
718	4325	1690
719	4330	1684
720	4336	1677
721	4342	1671
722	4347	1665
723	4353	1659
724	4359	1653
725	4364	1647
726	4370	1641
727	4376	1635
728	4382	1629
729	4389	1623
730	4396	1617
731	4403	1612
732	4410	1606
733	4416	1600
734	4423	1594
735	4429	1588
736	4435	1582
737	4441	1576
738	4447	1570
739	4453	1564
740	4459	1558
741	4465	1552
742	4471	1546
743	4477	1540
744	4483	1534
745	4489	1528
746	4495	1522
747	4501	1516
748	4506	1510
749	4512	1504
750	4518	1498
751	4524	1492
752	4530	1486
753	4536	1479
754	4542	1474
755	4549	1468
756	4556	1462
757	4561	1456
758	4568	1450
759	4574	1444
760	4580	1438
761	4586	1432
762	4592	1426
763	4598	1420
764	4605	1414
765	4611	1408
766	4617	1402
767	4624	1396
768	4630	1390
769	4636	1384
770	4642	1378
771	4648	1372
772	4654	1366
773	4660	1360
774	4666	1354
775	4672	1348
776	4678	1342
777	4684	1336
778	4690	1330
779	4697	1324
780	4704	1319
781	4710	1313
782	4717	1307
783	4724	1301
784	4732	1296
785	4738	1290
786	4744	1284
787	4751	1278
788	4757	1272
789	4764	1266
790	4771	1260
791	4782	1256
792	4791	1250
793	4800	1245
794	4806	1239
795	4814	1233
796	4820	1227
797	4826	1221
798	4832	1215
799	4839	1209
800	4845	1203
801	4850	1197
802	4857	1191
803	4862	1185
804	4868	1179
805	4873	1173
806	4879	1166
807	4885	1160
808	4890	1154
809	4896	1148
810	4902	1142
811	4908	1136
812	4914	1130
813	4919	1124
814	4925	1118
815	4930	1111
816	4936	1105
817	4942	1099
818	4947	1093
819	4953	1087
820	4959	1081
821	4965	1075
822	4970	1069
823	4976	1062
824	4981	1056
825	4988	1050
826	4994	1044
827	5000	1038
828	5006	1032
829	5012	1026
830	5018	1020
831	5024	1014
832	5029	1008
833	5035	1002
834	5040	996
835	5046	989
836	5052	983
837	5057	977
838	5063	971
839	5069	965
840	5075	959
841	5080	953
842	5086	947
843	5092	941
844	5098	935
845	5104	929
846	5110	923
847	5115	916
848	5120	910
849	5126	904
850	5132	898
851	5139	892
852	5145	886
853	5151	880
854	5156	874
855	5162	868
856	5168	862
857	5173	856
858	5179	850
859	5185	844
860	5190	838
861	5197	832
862	5202	825
863	5208	819
864	5214	813
865	5220	807
866	5226	801
867	5231	795
868	5237	789
869	5243	783
870	5248	777
871	5254	771
872	5261	765
873	5266	759
874	5272	753
875	5278	747
876	5284	741
877	5290	735
878	5297	729
879	5303	723
880	5309	717
881	5315	711
882	5321	705
883	5327	699
884	5333	693
885	5339	686
886	5344	680
887	5350	674
888	5356	668
889	5362	662
890	5367	656
891	5373	650
892	5379	644
893	5385	638
894	5391	632
895	5397	626
896	5403	620
897	5409	614
898	5415	608
899	5420	602
900	5427	596
901	5432	590
902	5439	584
903	5446	578
904	5453	572
905	5459	566
906	5465	560
907	5470	554
908	5476	548
909	5482	542
910	5488	536
911	5494	530
912	5500	524
913	5505	518
914	5511	512
915	5517	505
916	5523	499
917	5529	493
918	5534	487
919	5540	481
920	5546	475
921	5552	469
922	5557	463
923	5563	457
924	5568	451
925	5574	445
926	5579	439
927	5585	433
928	5592	427
929	5599	421
930	5605	415
931	5610	409
932	5616	403
933	5621	397
934	5627	391
935	5633	385
936	5639	379
937	5645	373
938	5651	367
939	5657	361
940	5663	355
941	5668	349
942	5674	342
943	5680	336
944	5685	330
945	5691	324
946	5697	318
947	5702	312
948	5708	306
949	5714	300
950	5720	294
951	5725	288
952	5731	282
953	5737	276
954	5744	270
955	5750	264
956	5756	258
957	5761	252
958	5767	246
959	5772	240
960	5778	234
961	5783	228
962	5789	222
963	5795	216
964	5800	210
965	5806	204
966	5811	198
967	5817	192
968	5822	186
969	5828	180
970	5834	174
971	5841	168
972	5848	162
973	5854	156
974	5860	150
975	5866	144
976	5872	138
977	5879	132
978	5885	126
979	5891	120
980	5897	114
981	5904	108
982	5909	102
983	5916	96
984	5923	90
985	5930	84
986	5936	78
987	5943	72
988	5951	66
989	5957	60
990	5964	54
991	5970	48
992	5977	42
993	5984	36
994	5990	30
995	5996	24
996	6003	18
997	6009	12
998	6015	6
999	6021	0
